Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,fly ash,Water,superplastisizer,curing temp,DAYS,CS
666.58,993.7,12,110.2,275.59,0,0,0,25,28,23
672,1008,8,84,168,468,0,9.36,25,28,25.27
672,1008,8,84,168,468,0,9.36,25,28,32.84
672,1008,8,84,168,468,0,9.36,25,28,46.47
672,1008,8,84,168,468,0,9.36,25,28,22.02
672,1008,8,84,168,468,0,9.36,25,28,24.82
672,1008,8,84,168,468,0,9.36,25,28,27.5
707,1060,14,64,96,525,174,0,25,7,25.1
707,1060,14,64,96,525,174,0,25,28,38.2
707,1060,14,64,96,510,174,0,25,7,24.1
707,1060,14,64,96,510,174,0,25,28,34.6
707,1060,14,64,96,495,174,0,25,7,23.4
707,1060,14,64,96,495,174,0,25,28,33.7
707,1060,14,64,96,487,174,0,25,7,23
707,1060,14,64,96,487,174,0,25,28,33.2
707,1060,14,64,96,475,174,0,25,7,22.6
707,1060,14,64,96,475,174,0,25,28,32
707,1060,14,64,96,475,174,0,25,180,42
707,1060,14,64,96,450,174,0,25,7,21.7
707,1060,14,64,96,450,174,0,25,28,30.7
707,1060,14,64,96,440,174,0,25,7,19.2
707,1060,14,64,96,440,174,0,25,28,29.8
707,1060,14,64,96,430,174,0,25,7,17.5
707,1060,14,64,96,430,174,0,25,28,28.2
707,1060,14,64,96,430,174,0,25,180,37
707,1060,14,64,96,400,174,0,25,7,13.7
707,1060,14,64,96,400,174,0,25,28,21.9
707,1060,14,64,96,400,174,0,25,180,28
720,1080,10,57,143,400,0,0,25,7,40
720,1080,12,57,143,400,0,0,25,7,50
720,1080,14,57,143,400,0,0,25,7,60
720,1080,16,57,143,400,0,0,25,7,45
720,1080,10,57,143,400,0,0,25,28,48
720,1080,12,57,143,400,0,0,25,28,62
720,1080,14,57,143,400,0,0,25,28,68
720,1080,16,57,143,400,0,0,25,28,60
672,1008,10,68.6,171.4,480,0,0,25,7,48
672,1008,12,68.6,171.4,480,0,0,25,7,50
672,1008,14,68.6,171.4,480,0,0,25,7,62
672,1008,16,68.6,171.4,480,0,0,25,7,46
672,1008,10,68.6,171.4,480,0,0,25,28,50
672,1008,12,68.6,171.4,480,0,0,25,28,70
672,1008,14,68.6,171.4,480,0,0,25,28,72
672,1008,16,68.6,171.4,480,0,0,25,28,65
624,936,10,80,200,560,0,0,25,7,48
624,936,12,80,200,560,0,0,25,7,52
624,936,14,80,200,560,0,0,25,7,62
624,936,16,80,200,560,0,0,25,7,50
624,936,10,80,200,560,0,0,25,28,55
624,936,12,80,200,560,0,0,25,28,72
624,936,14,80,200,560,0,0,25,28,85
624,936,16,80,200,560,0,0,25,28,70
576,864,10,91.4,228.6,640,0,0,25,7,36
576,864,12,91.4,228.6,640,0,0,25,7,46
576,864,14,91.4,228.6,640,0,0,25,7,56
576,864,16,91.4,228.6,640,0,0,25,7,40
576,864,10,91.4,228.6,640,0,0,25,28,45
576,864,12,91.4,228.6,640,0,0,25,28,65
576,864,14,91.4,228.6,640,0,0,25,28,66
576,864,16,91.4,228.6,640,0,0,25,28,64
566.28,1260.42,11.15,19.32,91.98,420,42,0,80,28,65.58
561.72,1250.28,11.15,19.64,112,420,36.36,0,80,28,75.9
557.16,1240.14,11.15,19.98,130.5,420,32.22,0,80,28,69.87
549.35,1222.75,11.15,16.82,119.93,460,31.15,0,80,28,62.23
544.36,1211.64,11.15,28.17,110.4,460,45.43,0,80,28,92.86
539.37,1200.53,11.15,20.94,133.4,460,45.76,0,80,28,56.8
532.43,1185.08,11.15,23.28,121.67,500,37.55,0,80,28,79.83
527,1173,11.15,18,142.86,500,39.14,0,80,28,58.51
521.58,1160.93,11.15,30.51,130.5,500,56.49,0,80,28,86.6
577.4,1072.4,8,53.2,286.3,274.8,66.5,0,25,28,43
563.7,1046.9,8,53.2,286.3,274.8,66.5,0,25,28,48
536.2,995.9,8,53.2,286.3,274.8,66.5,0,25,28,50
522.5,970.3,8,53.2,286.3,274.8,66.5,0,25,28,55
508.7,944.8,8,53.2,286.3,274.8,66.5,0,25,28,53
530.6,1044.4,10,67.1,117.4,410,79.2,0,75,7,4
530.6,1044.4,10,67.1,117.4,410,79.2,0,25,7,10
530.6,1044.4,10,67.1,117.4,410,79.2,0,75,28,10
530.6,1044.4,10,67.1,117.4,410,79.2,0,25,28,30
530.6,1044.4,10,67.1,117.4,410,79.2,0,75,56,14
530.6,1044.4,10,67.1,117.4,410,79.2,0,25,56,30
530.6,1044.4,10,67.1,117.4,410,79.2,0,75,90,20
530.6,1044.4,10,67.1,117.4,410,79.2,0,25,90,35
530.6,1044.4,10,67.1,117.4,410,79.2,0,75,180,30
530.6,1044.4,10,67.1,117.4,410,79.2,0,25,180,36
514,1119,10,400,600,450,0,0,25,3,0
514,1119,10,400,600,450,0,0,25,7,11
514,1119,10,400,600,450,0,0,25,28,24
514,1119,10,400,600,450,0,0,60,3,22
514,1119,10,400,600,450,0,0,60,3,17
514,1119,10,400,600,450,0,0,60,3,13
514,1119,10,400,600,450,0,0,60,7,24
514,1119,10,400,600,450,0,0,60,7,19
514,1119,10,400,600,450,0,0,60,7,16
514,1119,10,400,600,450,0,0,60,28,33
