Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,GGBS,fly ash,Water,superplastisizer,curing temp,DAYS,compressive strength
651,1209,14,45.7,114.3,80,320,0,0,22,28,45
651,1209,14,45.7,114.3,80,320,0,0,22,56,42.5
651,1209,14,45.7,114.3,120,280,0,0,22,3,28
651,1209,14,45.7,114.3,120,280,0,0,22,7,42.5
651,1209,14,45.7,114.3,120,280,0,0,22,28,55
651,1209,14,45.7,114.3,120,280,0,0,22,56,62.5
651,1209,14,40,100,40,360,0,0,22,3,20
651,1209,14,40,100,40,360,0,0,22,7,32.5
651,1209,14,40,100,40,360,0,0,22,28,45
651,1209,14,40,100,40,360,0,0,22,56,52
651,1209,14,51.5,128.5,40,360,0,0,22,3,12
651,1209,14,51.5,128.5,40,360,0,0,22,7,20
651,1209,14,51.5,128.5,40,360,0,0,22,28,30
651,1209,14,51.5,128.5,40,360,0,0,22,56,32.5
651,1209,14,64,96,40,360,0,0,22,3,12
651,1209,14,64,96,40,360,0,0,22,7,18
651,1209,14,64,96,40,360,0,0,22,28,35
651,1209,14,64,96,40,360,0,0,22,56,40
651,1209,14,53.3,106.7,40,360,0,0,22,3,14
651,1209,14,53.3,106.7,40,360,0,0,22,7,21
651,1209,14,53.3,106.7,40,360,0,0,22,28,32.5
651,1209,14,53.3,106.7,40,360,0,0,22,56,38
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
507.76,912.77,12,97.42,243.55,165,385,0,0,25,7,33.06
507.76,912.77,12,97.42,243.55,165,385,0,0,25,28,43.25
507.76,912.77,12,97.42,243.55,165,385,0,0,25,7,31.4
507.76,912.77,12,97.42,243.55,165,385,0,0,25,28,36.25
507.76,912.77,12,97.42,243.55,165,385,0,0,25,7,27.74
507.76,912.77,12,97.42,243.55,165,385,0,0,25,28,30.78
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
716,1074,10,9,56,0,200,145,0,22,3,13
716,1074,10,9,56,0,200,145,0,22,7,25
716,1074,10,9,56,0,200,145,0,22,28,30
716,1074,10,9,56,0,200,145,0,22,90,45
712,1068,10,12,74,0,200,133,0,22,3,28
712,1068,10,12,74,0,200,133,0,22,7,33
712,1068,10,12,74,0,200,133,0,22,28,50
712,1068,10,12,74,0,200,133,0,22,90,60
708,1062,10,15,93,0,200,122,0,22,3,35
708,1062,10,15,93,0,200,122,0,22,7,46
708,1062,10,15,93,0,200,122,0,22,28,58
708,1062,10,15,93,0,200,122,0,22,90,67
712,1068,10,19,62,0,200,139,0,22,3,28
712,1068,10,19,62,0,200,139,0,22,7,33
712,1068,10,19,62,0,200,139,0,22,28,42.5
712,1068,10,19,62,0,200,139,0,22,90,55
704,1056,10,12,124,0,200,104,0,22,3,35
704,1056,10,12,124,0,200,104,0,22,7,45
704,1056,10,12,124,0,200,104,0,22,28,65
704,1056,10,12,124,0,200,104,0,22,90,77
716,1074,10,15,93,0,200,102,0,22,3,38
716,1074,10,15,93,0,200,102,0,22,7,55
716,1074,10,15,93,0,200,102,0,22,28,67
716,1074,10,15,93,0,200,102,0,22,90,75
700,1050,10,15,93,0,200,142,0,22,3,17
700,1050,10,15,93,0,200,142,0,22,7,35
700,1050,10,15,93,0,200,142,0,22,28,42
700,1050,10,15,93,0,200,142,0,22,90,50
712,1068,10,12,74,100,100,133,0,22,3,33
712,1068,10,12,74,100,100,133,0,22,7,38
712,1068,10,12,74,100,100,133,0,22,28,50
712,1068,10,12,74,100,100,133,0,22,90,58
712,1068,10,12,74,200,0,133,0,22,3,38
712,1068,10,12,74,200,0,133,0,22,7,46
712,1068,10,12,74,200,0,133,0,22,28,65
712,1068,10,12,74,200,0,133,0,22,90,77
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
623,1016,14,70,105,0,500,0,0,22,3,6.5
623,1016,14,70,105,0,500,0,0,22,7,12
623,1016,14,70,105,0,500,0,0,22,28,22.5
647,1056,14,63,94.5,50,450,0,0,22,3,15
647,1056,14,63,94.5,50,450,0,0,22,7,23
647,1056,14,63,94.5,50,450,0,0,22,28,33
671,1095,14,56,84,100,400,0,0,22,3,17.5
671,1095,14,56,84,100,400,0,0,22,7,23
671,1095,14,56,84,100,400,0,0,22,28,32.5
696,1135,14,49,73.5,150,350,0,0,22,3,18
696,1135,14,49,73.5,150,350,0,0,22,7,28
696,1135,14,49,73.5,150,350,0,0,22,28,38
623,1016,16,70,105,0,500,0,0,22,3,7
623,1016,16,70,105,0,500,0,0,22,7,12
623,1016,16,70,105,0,500,0,0,22,28,26
647,1056,16,63,94.5,50,450,0,0,22,3,15
647,1056,16,63,94.5,50,450,0,0,22,7,24
647,1056,16,63,94.5,50,450,0,0,22,28,30
671,1095,16,56,84,100,400,0,0,22,3,16
671,1095,16,56,84,100,400,0,0,22,7,24
671,1095,16,56,84,100,400,0,0,22,28,34
696,1135,16,49,73.5,150,350,0,0,22,3,16.5
696,1135,16,49,73.5,150,350,0,0,22,7,30
696,1135,16,49,73.5,150,350,0,0,22,28,45
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
650,1200,8,19,111,0,400,55,12,75,7,44.7
